Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
23,La Corriente,"Bad Bunny, Tony Dize",3.0,3419742.0,spotify,20-05-2022/26-05-2022,Mexico
24,San Lucas,Kevin Kaarl,13.0,3419158.0,spotify,20-05-2022/26-05-2022,Mexico
25,Otro Atardecer,"Bad Bunny, The Marías",3.0,3404258.0,spotify,20-05-2022/26-05-2022,Mexico
26,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,3311223.0,spotify,20-05-2022/26-05-2022,Mexico
27,Aguacero,Bad Bunny,3.0,3303595.0,spotify,20-05-2022/26-05-2022,Mexico
28,Un Coco,Bad Bunny,3.0,3291802.0,spotify,20-05-2022/26-05-2022,Mexico
29,ULTRA SOLO,"Polimá Westcoast, Pailita",5.0,3264122.0,spotify,20-05-2022/26-05-2022,Mexico
30,Late Night Talking,Harry Styles,1.0,3194782.0,spotify,20-05-2022/26-05-2022,Mexico
1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,644054.0,spotify,20-05-2022/26-05-2022,Paraguay
2,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,520730.0,spotify,20-05-2022/26-05-2022,Paraguay
3,Moscow Mule,Bad Bunny,3.0,423969.0,spotify,20-05-2022/26-05-2022,Paraguay
4,Party,"Bad Bunny, Rauw Alejandro",3.0,300868.0,spotify,20-05-2022/26-05-2022,Paraguay
5,Tití Me Preguntó,Bad Bunny,3.0,262231.0,spotify,20-05-2022/26-05-2022,Paraguay
6,PROVENZA,KAROL G,5.0,261811.0,spotify,20-05-2022/26-05-2022,Paraguay
7,Una Noche en Medellín,Cris Mj,14.0,260062.0,spotify,20-05-2022/26-05-2022,Paraguay
8,Fuera del mercado,Danny Ocean,12.0,257652.0,spotify,20-05-2022/26-05-2022,Paraguay
9,X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",9.0,247429.0,spotify,20-05-2022/26-05-2022,Paraguay
10,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,239454.0,spotify,20-05-2022/26-05-2022,Paraguay
11,Jordan,Ryan Castro,15.0,231183.0,spotify,20-05-2022/26-05-2022,Paraguay
12,Un Ratito,Bad Bunny,3.0,216636.0,spotify,20-05-2022/26-05-2022,Paraguay
13,Me Fui de Vacaciones,Bad Bunny,3.0,212396.0,spotify,20-05-2022/26-05-2022,Paraguay
14,Tarot,"Bad Bunny, Jhay Cortez",3.0,207552.0,spotify,20-05-2022/26-05-2022,Paraguay
15,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",16.0,182044.0,spotify,20-05-2022/26-05-2022,Paraguay
16,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",34.0,181616.0,spotify,20-05-2022/26-05-2022,Paraguay
17,MAMIII,"Becky G, KAROL G",15.0,163961.0,spotify,20-05-2022/26-05-2022,Paraguay
18,Yo No Soy Celoso,Bad Bunny,3.0,163961.0,spotify,20-05-2022/26-05-2022,Paraguay
19,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",22.0,160015.0,spotify,20-05-2022/26-05-2022,Paraguay
20,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",30.0,156431.0,spotify,20-05-2022/26-05-2022,Paraguay
21,As It Was,Harry Styles,8.0,155722.0,spotify,20-05-2022/26-05-2022,Paraguay
22,Después de la Playa,Bad Bunny,3.0,154760.0,spotify,20-05-2022/26-05-2022,Paraguay
23,Efecto,Bad Bunny,3.0,152453.0,spotify,20-05-2022/26-05-2022,Paraguay
24,Neverita,Bad Bunny,3.0,148490.0,spotify,20-05-2022/26-05-2022,Paraguay
25,TUS LÁGRIMAS,"Mora, Sech",6.0,142660.0,spotify,20-05-2022/26-05-2022,Paraguay
26,Envolver,Anitta,12.0,142609.0,spotify,20-05-2022/26-05-2022,Paraguay
27,ULTRA SOLO,"Polimá Westcoast, Pailita",4.0,141365.0,spotify,20-05-2022/26-05-2022,Paraguay
28,Plan A,Paulo Londra,10.0,140396.0,spotify,20-05-2022/26-05-2022,Paraguay
29,"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",5.0,135730.0,spotify,20-05-2022/26-05-2022,Paraguay
30,Dos Mil 16,Bad Bunny,3.0,134290.0,spotify,20-05-2022/26-05-2022,Paraguay
1,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,1612709.0,spotify,20-05-2022/26-05-2022,Perú
2,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,1517731.0,spotify,20-05-2022/26-05-2022,Perú
3,Party,"Bad Bunny, Rauw Alejandro",3.0,1352968.0,spotify,20-05-2022/26-05-2022,Perú
4,PROVENZA,KAROL G,5.0,1137988.0,spotify,20-05-2022/26-05-2022,Perú
5,Tití Me Preguntó,Bad Bunny,3.0,1086713.0,spotify,20-05-2022/26-05-2022,Perú
6,Moscow Mule,Bad Bunny,3.0,993220.0,spotify,20-05-2022/26-05-2022,Perú
7,As It Was,Harry Styles,8.0,925488.0,spotify,20-05-2022/26-05-2022,Perú
8,Te Felicito,"Shakira, Rauw Alejandro",5.0,802285.0,spotify,20-05-2022/26-05-2022,Perú
9,MAMIII,"Becky G, KAROL G",15.0,755003.0,spotify,20-05-2022/26-05-2022,Perú
10,Efecto,Bad Bunny,3.0,753426.0,spotify,20-05-2022/26-05-2022,Perú
11,Después de la Playa,Bad Bunny,3.0,737512.0,spotify,20-05-2022/26-05-2022,Perú
12,Una Noche en Medellín,Cris Mj,14.0,725412.0,spotify,20-05-2022/26-05-2022,Perú
13,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,721668.0,spotify,20-05-2022/26-05-2022,Perú
14,Jordan,Ryan Castro,18.0,690710.0,spotify,20-05-2022/26-05-2022,Perú
15,Me Fui de Vacaciones,Bad Bunny,3.0,663185.0,spotify,20-05-2022/26-05-2022,Perú
16,Un Ratito,Bad Bunny,3.0,656136.0,spotify,20-05-2022/26-05-2022,Perú
17,Tarot,"Bad Bunny, Jhay Cortez",3.0,633270.0,spotify,20-05-2022/26-05-2022,Perú
18,ULTRA SOLO,"Polimá Westcoast, Pailita",5.0,602215.0,spotify,20-05-2022/26-05-2022,Perú
19,Yo No Soy Celoso,Bad Bunny,3.0,549135.0,spotify,20-05-2022/26-05-2022,Perú
20,X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",9.0,526438.0,spotify,20-05-2022/26-05-2022,Perú
21,12x3,DEKKO,21.0,517251.0,spotify,20-05-2022/26-05-2022,Perú
22,Fuera del mercado,Danny Ocean,13.0,502562.0,spotify,20-05-2022/26-05-2022,Perú
23,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",34.0,484361.0,spotify,20-05-2022/26-05-2022,Perú
24,Envolver,Anitta,12.0,475683.0,spotify,20-05-2022/26-05-2022,Perú
25,La Corriente,"Bad Bunny, Tony Dize",3.0,460777.0,spotify,20-05-2022/26-05-2022,Perú
26,Neverita,Bad Bunny,3.0,457648.0,spotify,20-05-2022/26-05-2022,Perú
27,Andrea,"Bad Bunny, Buscabulla",3.0,456455.0,spotify,20-05-2022/26-05-2022,Perú
28,París,"Morat, Duki",1.0,443553.0,spotify,20-05-2022/26-05-2022,Perú
29,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",21.0,438082.0,spotify,20-05-2022/26-05-2022,Perú
30,Un Coco,Bad Bunny,3.0,431684.0,spotify,20-05-2022/26-05-2022,Perú
