Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
6,Ojitos Lindos,Bad Bunny & Bomba Estéreo,3.0,1770449.0,youtube music,20-05-2022/26-05-2022,Chile
7,La Llevo Al Cielo,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",1.0,1763299.0,youtube music,20-05-2022/26-05-2022,Chile
8,Dime Tú,"Pailita, Cris Mj & Big Cvyu",16.0,1676136.0,youtube music,20-05-2022/26-05-2022,Chile
9,Una Noche en Medellín,Cris Mj,19.0,1659629.0,youtube music,20-05-2022/26-05-2022,Chile
10,Pégate,Standly,21.0,1371156.0,youtube music,20-05-2022/26-05-2022,Chile
11,Noche Loca,El Jordan 23,5.0,1318107.0,youtube music,20-05-2022/26-05-2022,Chile
12,Moscow Mule,Bad Bunny,3.0,1257546.0,youtube music,20-05-2022/26-05-2022,Chile
13,Tití Me Preguntó,Bad Bunny,3.0,1210642.0,youtube music,20-05-2022/26-05-2022,Chile
14,Yo Quiero (feat. Nio Garcia),Pailita,4.0,1102228.0,youtube music,20-05-2022/26-05-2022,Chile
15,Par de Veces,Pailita & El Casti,8.0,1093405.0,youtube music,20-05-2022/26-05-2022,Chile
16,Si Sako La 40,El Jordan 23,1.0,1086490.0,youtube music,20-05-2022/26-05-2022,Chile
17,Party,Bad Bunny & Rauw Alejandro,3.0,1060265.0,youtube music,20-05-2022/26-05-2022,Chile
18,MAMIII,KAROL G & Becky G,15.0,1011405.0,youtube music,20-05-2022/26-05-2022,Chile
19,Bailemos Reggaeton,Standly,10.0,974676.0,youtube music,20-05-2022/26-05-2022,Chile
20,Los Malvekes,"Cris Mj, Marcianeke, Simon la Letra & Stars Music Chile",30.0,927113.0,youtube music,20-05-2022/26-05-2022,Chile
21,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,920209.0,youtube music,20-05-2022/26-05-2022,Chile
22,En El Jacuzzi,Nickoog Clk,7.0,866828.0,youtube music,20-05-2022/26-05-2022,Chile
23,Como Te Va,Cris Mj,14.0,849583.0,youtube music,20-05-2022/26-05-2022,Chile
24,"Ponle (Remix) (feat. Pailita, Jairo Vera, Harry Nach, Forest & Franco ""El Gorila"")","Balbi El Chamako, El BAI & Marcianeke",41.0,846202.0,youtube music,20-05-2022/26-05-2022,Chile
25,Mi Gata,Standly & El Barto,26.0,797083.0,youtube music,20-05-2022/26-05-2022,Chile
26,"Phillie y Botella (Remix) (feat. Simon la Letra, Standly & Pailita)",Nickoog Clk,14.0,793000.0,youtube music,20-05-2022/26-05-2022,Chile
27,SEXTIME,"Polima Westcoast, Young Cister & Cris Mj",8.0,775568.0,youtube music,20-05-2022/26-05-2022,Chile
28,Desde Mis Ojos (Remix),Chris Lebron,2.0,638435.0,youtube music,20-05-2022/26-05-2022,Chile
29,Te Felicito,Shakira & Rauw Alejandro,5.0,632519.0,youtube music,20-05-2022/26-05-2022,Chile
30,Anti Rana,El Jordan 23,18.0,628531.0,youtube music,20-05-2022/26-05-2022,Chile
1,Me Porto Bonito,Christian Nodal,3.0,9825874.0,youtube music,20-05-2022/26-05-2022,Mexico
2,Ojitos Lindos,Cris Mj,3.0,8354514.0,youtube music,20-05-2022/26-05-2022,Mexico
3,Tití Me Preguntó,Bad Bunny,3.0,8240424.0,youtube music,20-05-2022/26-05-2022,Mexico
4,PROVENZA,Yahritza Y Su Esencia,5.0,7921290.0,youtube music,20-05-2022/26-05-2022,Mexico
5,En El Radio Un Cochinero,Polima Westcoast & Pailita,2.0,7715275.0,youtube music,20-05-2022/26-05-2022,Mexico
6,Party,Junior H & Luis R Conriquez,3.0,7287518.0,youtube music,20-05-2022/26-05-2022,Mexico
7,San Lucas,Harry Styles,16.0,5970438.0,youtube music,20-05-2022/26-05-2022,Mexico
8,Chale,Santa Fe Klan,14.0,5940439.0,youtube music,20-05-2022/26-05-2022,Mexico
9,"Cnv Sound, Vol. 14",Rauw Alejandro & Chencho Corleone,5.0,4916989.0,youtube music,20-05-2022/26-05-2022,Mexico
10,MAMIII,Anitta,15.0,4567634.0,youtube music,20-05-2022/26-05-2022,Mexico
